Floor_Area,Floor_Number,ofPeople_service,ofPeople_living,ofPeople_bedroom,total_window_area,Cooling,Heating,Lighting
50.33,5.00,0.11,0.11,0.06,12.33,53.25,37.55,7.56
61.50,3.00,0.10,0.10,0.05,10.64,21.82,23.23,7.02
77.37,2.00,0.05,0.05,0.02,11.46,31.13,30.83,11.55
150.28,4.00,0.05,0.05,0.03,15.77,56.48,62.20,6.83
105.60,1.00,0.05,0.05,0.02,11.20,50.08,23.49,7.05
150.28,5.00,0.28,0.28,0.14,10.26,39.75,32.64,7.10
58.57,6.00,0.09,0.09,0.09,14.27,55.19,61.61,5.77
61.47,1.00,0.19,0.19,0.10,12.29,17.10,22.29,12.33
90.79,3.00,0.24,0.24,0.12,15.77,22.80,39.18,10.87
66.40,1.00,0.04,0.04,0.02,11.77,45.83,29.46,7.09
50.33,1.00,0.28,0.28,0.14,10.48,19.89,23.30,9.10
51.74,2.00,0.10,0.10,0.05,11.09,47.97,39.96,7.03
76.44,1.00,0.02,0.02,0.02,13.60,12.79,18.54,7.83
80.08,4.00,0.40,0.40,0.20,9.28,61.53,48.38,7.15
77.43,1.00,0.02,0.02,0.02,13.39,11.04,21.18,9.66
71.42,2.00,0.27,0.27,0.13,14.77,56.18,57.80,6.93
56.41,4.00,0.27,0.27,0.14,14.69,36.50,42.92,9.34
52.24,4.00,0.06,0.06,0.03,9.91,40.29,28.17,7.34
50.40,4.00,0.07,0.07,0.07,11.18,51.75,97.56,5.87
97.61,4.00,0.05,0.05,0.03,15.06,38.24,60.93,6.95
85.19,1.00,0.04,0.04,0.04,11.41,23.04,23.53,8.22
54.76,5.00,0.04,0.04,0.04,14.28,37.32,48.21,7.22
81.07,3.00,0.24,0.24,0.12,8.80,47.27,55.68,7.07
111.38,3.00,0.19,0.19,0.19,15.54,29.78,38.67,5.91
63.71,3.00,0.06,0.06,0.06,8.87,16.75,34.40,6.71
48.63,3.00,0.10,0.10,0.10,9.54,24.03,20.63,5.97
65.27,6.00,0.05,0.05,0.02,15.67,59.26,58.66,6.85
49.56,2.00,0.14,0.14,0.07,11.20,38.11,23.57,7.03
42.50,5.00,0.08,0.08,0.04,12.11,50.11,73.53,8.37
84.54,2.00,0.07,0.07,0.07,11.31,24.15,60.51,6.09
111.38,2.00,0.20,0.20,0.10,13.96,43.38,26.67,7.07
59.74,3.00,0.11,0.11,0.05,13.22,38.79,19.81,7.26
84.35,6.00,0.15,0.15,0.15,9.45,46.19,43.50,5.85
67.02,1.00,0.06,0.06,0.03,10.26,25.14,35.84,8.93
69.71,3.00,0.07,0.07,0.07,16.43,13.41,18.98,9.65
128.51,1.00,0.05,0.05,0.02,11.04,31.30,24.51,8.05
51.80,2.00,0.05,0.05,0.03,14.93,37.82,37.86,7.17
83.60,2.00,0.10,0.10,0.05,13.02,35.12,24.91,8.26
97.85,6.00,0.07,0.07,0.03,9.42,59.45,51.77,7.09
63.26,2.00,0.14,0.14,0.14,14.13,35.67,52.47,6.41
51.74,4.00,0.05,0.05,0.02,11.33,20.61,25.91,10.78
50.33,4.00,0.02,0.02,0.02,15.86,21.71,21.61,5.92
62.50,1.00,0.04,0.04,0.02,11.93,28.69,28.57,7.78
66.63,2.00,0.17,0.17,0.08,10.24,19.20,33.22,11.92
146.76,5.00,0.05,0.05,0.05,9.63,30.43,48.79,8.11
56.24,1.00,0.12,0.12,0.06,12.03,16.19,28.22,11.90
63.62,4.00,0.07,0.07,0.03,9.47,26.07,35.70,9.33
92.25,2.00,0.30,0.30,0.15,10.43,22.55,31.09,8.90
70.89,6.00,0.03,0.03,0.02,14.01,44.76,35.73,7.52
74.00,4.00,0.18,0.18,0.09,9.87,30.83,23.60,7.34
83.58,3.00,0.24,0.24,0.12,11.28,26.59,27.63,8.85
99.67,6.00,0.11,0.11,0.05,12.82,40.35,30.18,7.08
94.04,6.00,0.08,0.08,0.08,12.85,29.90,29.93,7.64
139.23,1.00,0.14,0.14,0.07,15.83,37.92,41.30,6.87
102.00,1.00,0.03,0.03,0.01,14.28,13.23,22.72,11.59
61.49,6.00,0.04,0.04,0.04,11.46,49.63,35.74,5.79
48.63,1.00,0.22,0.22,0.22,13.91,32.00,39.19,5.91
64.21,5.00,0.06,0.06,0.06,8.88,31.76,46.01,7.80
52.14,3.00,0.07,0.07,0.03,9.63,16.50,30.68,10.83
61.05,4.00,0.22,0.22,0.11,11.36,20.10,27.79,9.02
102.66,1.00,0.06,0.06,0.03,9.84,22.98,30.82,10.24
48.82,3.00,0.12,0.12,0.06,12.29,19.00,29.09,11.98
153.25,4.00,0.03,0.03,0.03,11.33,33.17,21.91,5.91
52.60,3.00,0.09,0.09,0.05,16.35,23.26,22.88,7.65
112.07,6.00,0.05,0.05,0.02,15.77,49.92,50.91,6.92
80.91,5.00,0.21,0.21,0.11,11.79,35.56,37.61,7.30
58.03,4.00,0.04,0.04,0.02,12.79,22.80,28.86,10.90
140.64,1.00,0.22,0.22,0.11,13.08,21.99,40.81,8.33
77.43,3.00,0.04,0.04,0.02,11.97,18.54,28.88,10.20
128.30,2.00,0.16,0.16,0.08,8.70,14.80,24.50,10.14
59.26,1.00,0.12,0.12,0.12,8.41,12.50,18.57,8.78
84.12,5.00,0.09,0.09,0.04,11.83,46.50,44.30,7.06
79.60,2.00,0.07,0.07,0.03,9.67,30.00,36.09,7.93
89.13,1.00,0.15,0.15,0.15,9.30,31.03,28.24,6.08
90.50,3.00,0.07,0.07,0.03,14.00,25.10,43.16,7.14
92.42,5.00,0.08,0.08,0.04,9.05,36.32,47.12,6.98
97.61,4.00,0.12,0.12,0.06,9.86,29.69,19.20,8.48
75.85,4.00,0.02,0.02,0.02,14.38,18.21,23.11,5.96
116.14,2.00,0.19,0.19,0.09,9.69,20.85,37.30,7.40
85.84,1.00,0.02,0.02,0.02,14.01,7.14,27.27,10.11
86.03,3.00,0.17,0.17,0.09,10.08,36.00,24.14,7.56
54.55,4.00,0.10,0.10,0.05,13.51,45.45,30.25,7.03
178.89,6.00,0.13,0.13,0.07,10.37,49.49,59.25,7.06
49.40,1.00,0.03,0.03,0.03,16.72,24.95,32.41,6.44
61.38,4.00,0.19,0.19,0.09,10.26,28.78,30.28,8.96
97.85,2.00,0.35,0.35,0.17,10.38,75.10,41.04,6.99
103.41,4.00,0.08,0.08,0.04,8.88,32.49,35.52,7.29
82.40,2.00,0.05,0.05,0.05,9.88,18.36,34.37,6.47
53.25,1.00,0.06,0.06,0.03,14.07,23.17,40.85,7.75
124.73,4.00,0.29,0.29,0.29,8.75,18.38,30.89,9.64
86.05,5.00,0.05,0.05,0.02,11.09,35.50,34.41,8.03
93.76,2.00,0.03,0.03,0.03,11.79,12.37,27.71,6.86
82.36,1.00,0.08,0.08,0.04,8.48,23.36,42.50,9.79
82.36,5.00,0.14,0.14,0.07,14.38,47.36,31.12,7.23
96.92,2.00,0.08,0.08,0.04,14.60,34.01,25.21,7.19
62.66,5.00,0.05,0.05,0.02,11.62,33.82,41.67,7.06
49.23,4.00,0.09,0.09,0.04,11.62,29.14,16.51,7.07
81.51,4.00,0.12,0.12,0.06,11.99,37.61,21.04,7.06
99.67,2.00,0.11,0.11,0.06,12.68,24.09,23.27,9.85
50.87,5.00,0.03,0.03,0.03,12.81,13.33,23.70,8.00
50.40,4.00,0.11,0.11,0.11,10.87,29.21,29.00,5.89
43.04,6.00,0.02,0.02,0.02,13.81,43.89,40.07,5.77
103.32,4.00,0.19,0.19,0.10,9.49,29.27,40.29,7.28
149.82,2.00,0.06,0.06,0.03,9.93,17.53,37.57,11.15
152.94,4.00,0.14,0.14,0.07,11.24,30.14,39.58,7.18
96.16,4.00,0.06,0.06,0.06,8.55,54.13,54.65,5.78
53.33,4.00,0.11,0.11,0.06,16.47,33.26,19.36,7.36
61.05,1.00,0.08,0.08,0.04,15.22,13.00,19.87,11.01
61.80,1.00,0.31,0.31,0.16,9.86,25.59,29.15,10.93
61.98,4.00,0.04,0.04,0.04,11.06,35.18,43.69,5.95
155.43,5.00,0.24,0.24,0.12,11.28,36.50,38.72,7.18
92.99,5.00,0.30,0.30,0.15,9.84,28.45,28.48,10.27
58.18,3.00,0.06,0.06,0.03,10.06,23.26,29.65,7.25
90.82,2.00,0.29,0.29,0.29,9.66,15.54,36.52,9.99
93.08,5.00,0.12,0.12,0.12,13.60,15.68,23.49,6.31
49.40,1.00,0.16,0.16,0.08,10.75,27.62,24.69,7.50
121.52,4.00,0.25,0.25,0.12,15.54,32.46,35.72,7.83
76.08,5.00,0.05,0.05,0.03,10.71,36.60,35.00,11.74
93.31,2.00,0.03,0.03,0.03,11.99,17.99,26.07,5.98
62.66,1.00,0.13,0.13,0.07,11.68,15.90,28.61,11.38
61.49,2.00,0.12,0.12,0.12,10.54,41.10,22.81,5.88
76.27,6.00,0.06,0.06,0.03,9.90,61.87,42.14,7.00
69.71,3.00,0.05,0.05,0.02,11.55,22.73,32.40,7.37
56.24,3.00,0.47,0.47,0.23,12.10,30.02,54.29,9.92
62.66,6.00,0.07,0.07,0.04,9.98,49.23,48.77,7.01
50.58,5.00,0.07,0.07,0.03,9.23,41.32,47.28,7.08
77.03,4.00,0.05,0.05,0.02,11.09,34.25,23.82,7.72
99.47,4.00,0.16,0.16,0.16,9.09,31.40,29.17,7.53
103.32,1.00,0.09,0.09,0.05,11.13,10.81,12.57,9.19
52.17,2.00,0.19,0.19,0.09,12.46,40.12,23.40,7.32
189.63,4.00,0.04,0.04,0.02,11.60,29.89,45.31,7.05
131.35,3.00,0.10,0.10,0.10,9.47,13.02,14.32,9.09
65.87,5.00,0.06,0.06,0.06,12.35,34.99,36.63,6.05
64.21,5.00,0.14,0.14,0.14,12.46,29.04,28.73,5.87
152.41,2.00,0.04,0.04,0.04,11.41,26.03,21.40,7.39
107.48,4.00,0.05,0.05,0.05,10.37,41.68,45.74,5.89
84.54,2.00,0.24,0.24,0.12,8.45,27.33,39.50,7.07
63.94,4.00,0.05,0.05,0.02,11.40,36.36,32.63,8.90
